trainfn,actfn1,actfn2,errfn,PerfTrain,PerfTest,PerfValidate,PerfTotal,Neurons,Slno
trainlm,tansig,logsig,sse,81.25,66.6666666666667,66.6666666666667,77.2727272727273,4,40
trainlm,logsig,tansig,sse,75,100,66.6666666666667,77.2727272727273,4,46
trainbfg,tansig,purelin,sse,81.25,66.6666666666667,66.6666666666667,77.2727272727273,4,56
trainlm,tansig,purelin,sse,81.25,66.6666666666667,66.6666666666667,77.2727272727273,4,60
trainlm,tansig,purelin,crossentropy,81.25,66.6666666666667,66.6666666666667,77.2727272727273,4,61
trainlm,tansig,logsig,crossentropy,81.25,66.6666666666667,66.6666666666667,77.2727272727273,5,77
trainbfg,tansig,softmax,sse,81.25,100,33.3333333333333,77.2727272727273,5,82
trainlm,logsig,purelin,sse,75,100,66.6666666666667,77.2727272727273,5,83
trainlm,logsig,softmax,crossentropy,81.25,100,33.3333333333333,77.2727272727273,5,89
trainlm,tansig,purelin,sse,81.25,100,33.3333333333333,77.2727272727273,5,92
trainbfg,logsig,purelin,sse,81.25,100,33.3333333333333,77.2727272727273,6,97
trainlm,logsig,logsig,sse,75,66.6666666666667,100,77.2727272727273,6,101
trainlm,logsig,tansig,crossentropy,81.25,33.3333333333333,100,77.2727272727273,6,106
trainlm,logsig,purelin,sse,81.25,100,33.3333333333333,77.2727272727273,6,115
trainbfg,tansig,purelin,sse,75,100,66.6666666666667,77.2727272727273,6,120
trainlm,logsig,softmax,crossentropy,81.25,100,33.3333333333333,77.2727272727273,6,121
trainlm,tansig,softmax,crossentropy,81.25,100,33.3333333333333,77.2727272727273,6,122
trainlm,tansig,purelin,sse,81.25,100,33.3333333333333,77.2727272727273,6,124
trainlm,tansig,tansig,sse,81.25,33.3333333333333,100,77.2727272727273,6,126
trainlm,tansig,tansig,crossentropy,81.25,33.3333333333333,100,77.2727272727273,6,127
trainlm,logsig,logsig,crossentropy,81.25,33.3333333333333,100,77.2727272727273,6,128
trainbfg,logsig,softmax,crossentropy,75,66.6666666666667,100,77.2727272727273,7,135
trainlm,tansig,logsig,sse,81.25,33.3333333333333,100,77.2727272727273,7,136
trainlm,tansig,logsig,crossentropy,75,66.6666666666667,100,77.2727272727273,7,141
trainbfg,logsig,softmax,sse,75,66.6666666666667,100,77.2727272727273,7,143
trainlm,logsig,purelin,sse,75,66.6666666666667,100,77.2727272727273,7,147
trainbfg,tansig,softmax,crossentropy,75,66.6666666666667,100,77.2727272727273,7,148
trainbfg,tansig,purelin,sse,75,66.6666666666667,100,77.2727272727273,7,152
trainlm,tansig,purelin,sse,75,66.6666666666667,100,77.2727272727273,7,156
trainbfg,logsig,purelin,sse,81.25,100,33.3333333333333,77.2727272727273,8,161
trainbfg,logsig,softmax,sse,81.25,100,33.3333333333333,77.2727272727273,8,175
trainlm,logsig,softmax,sse,81.25,100,33.3333333333333,77.2727272727273,8,176
trainbfg,tansig,softmax,sse,81.25,100,33.3333333333333,77.2727272727273,8,178
trainbfg,tansig,purelin,sse,81.25,100,33.3333333333333,77.2727272727273,8,184
trainlm,logsig,softmax,crossentropy,81.25,100,33.3333333333333,77.2727272727273,8,185
trainbfg,logsig,purelin,sse,75,100,66.6666666666667,77.2727272727273,9,193
trainlm,tansig,logsig,crossentropy,75,66.6666666666667,100,77.2727272727273,9,205
trainlm,tansig,softmax,sse,87.5,0,100,77.2727272727273,9,213
trainbfg,tansig,softmax,sse,87.5,66.6666666666667,33.3333333333333,77.2727272727273,10,242
trainlm,tansig,purelin,sse,81.25,66.6666666666667,66.6666666666667,77.2727272727273,10,252
trainbfg,logsig,purelin,sse,75,100,66.6666666666667,77.2727272727273,11,257
trainlm,logsig,logsig,sse,81.25,100,33.3333333333333,77.2727272727273,11,261
trainlm,tansig,logsig,sse,81.25,100,33.3333333333333,77.2727272727273,11,264
trainlm,tansig,logsig,crossentropy,81.25,100,33.3333333333333,77.2727272727273,11,269
trainbfg,logsig,softmax,sse,75,100,66.6666666666667,77.2727272727273,11,271
trainbfg,tansig,purelin,sse,75,100,66.6666666666667,77.2727272727273,11,280
trainlm,logsig,softmax,crossentropy,81.25,100,33.3333333333333,77.2727272727273,11,281
trainlm,tansig,tansig,crossentropy,75,100,66.6666666666667,77.2727272727273,11,287
trainlm,logsig,logsig,sse,81.25,33.3333333333333,100,77.2727272727273,12,293
trainbfg,logsig,logsig,sse,81.25,33.3333333333333,100,77.2727272727273,12,300
trainlm,logsig,tansig,sse,81.25,33.3333333333333,100,77.2727272727273,12,302
trainbfg,tansig,purelin,sse,68.75,100,100,77.2727272727273,12,312
trainlm,logsig,softmax,crossentropy,68.75,100,100,77.2727272727273,12,313
trainlm,tansig,purelin,crossentropy,87.5,0,100,77.2727272727273,12,317
trainlm,tansig,tansig,crossentropy,81.25,33.3333333333333,100,77.2727272727273,12,319
trainlm,logsig,logsig,crossentropy,75,66.6666666666667,100,77.2727272727273,12,320
trainlm,logsig,purelin,crossentropy,75,66.6666666666667,100,77.2727272727273,13,326
trainlm,logsig,purelin,sse,81.25,66.6666666666667,66.6666666666667,77.2727272727273,13,339
trainbfg,tansig,purelin,sse,81.25,66.6666666666667,66.6666666666667,77.2727272727273,13,344
trainlm,logsig,logsig,sse,81.25,66.6666666666667,66.6666666666667,77.2727272727273,15,389
trainlm,logsig,purelin,crossentropy,81.25,100,33.3333333333333,77.2727272727273,15,390
trainlm,tansig,logsig,sse,81.25,66.6666666666667,66.6666666666667,77.2727272727273,15,392
trainlm,tansig,logsig,crossentropy,68.75,100,100,77.2727272727273,15,397
trainlm,logsig,softmax,sse,75,100,66.6666666666667,77.2727272727273,15,400
trainbfg,tansig,purelin,sse,87.5,66.6666666666667,33.3333333333333,77.2727272727273,15,408
trainlm,logsig,logsig,crossentropy,81.25,66.6666666666667,66.6666666666667,77.2727272727273,15,416
trainbfg,logsig,softmax,crossentropy,68.75,100,100,77.2727272727273,16,423
trainbfg,logsig,tansig,sse,81.25,100,33.3333333333333,77.2727272727273,16,425
trainbfg,tansig,softmax,crossentropy,75,100,66.6666666666667,77.2727272727273,16,436
trainbfg,logsig,purelin,sse,75,100,66.6666666666667,77.2727272727273,17,449
trainlm,logsig,logsig,sse,81.25,100,33.3333333333333,77.2727272727273,17,453
trainbfg,logsig,logsig,sse,87.5,100,0,77.2727272727273,17,460
trainbfg,logsig,purelin,sse,68.75,100,100,77.2727272727273,18,481
trainlm,logsig,logsig,sse,87.5,66.6666666666667,33.3333333333333,77.2727272727273,18,485
trainbfg,logsig,logsig,sse,87.5,66.6666666666667,33.3333333333333,77.2727272727273,18,492
trainbfg,logsig,softmax,sse,75,100,66.6666666666667,77.2727272727273,18,495
trainbfg,tansig,logsig,sse,87.5,66.6666666666667,33.3333333333333,77.2727272727273,18,497
trainlm,logsig,purelin,sse,81.25,66.6666666666667,66.6666666666667,77.2727272727273,18,499
trainlm,logsig,logsig,crossentropy,75,100,66.6666666666667,77.2727272727273,18,512
trainbfg,logsig,purelin,sse,81.25,66.6666666666667,66.6666666666667,77.2727272727273,20,545
trainlm,logsig,logsig,sse,87.5,66.6666666666667,33.3333333333333,77.2727272727273,20,549
trainbfg,logsig,softmax,crossentropy,75,100,66.6666666666667,77.2727272727273,20,551
trainbfg,logsig,softmax,sse,75,100,66.6666666666667,77.2727272727273,20,559
trainlm,logsig,softmax,sse,75,100,66.6666666666667,77.2727272727273,20,560
trainbfg,tansig,softmax,sse,75,100,66.6666666666667,77.2727272727273,20,562
trainbfg,tansig,purelin,sse,81.25,66.6666666666667,66.6666666666667,77.2727272727273,20,568
trainlm,tansig,purelin,sse,81.25,66.6666666666667,66.6666666666667,77.2727272727273,20,572
trainlm,tansig,purelin,crossentropy,75,100,66.6666666666667,77.2727272727273,20,573
trainbfg,logsig,purelin,sse,81.25,100,0,72.7272727272727,5,65
trainbfg,logsig,softmax,crossentropy,81.25,100,0,72.7272727272727,5,71
trainbfg,logsig,softmax,sse,81.25,100,0,72.7272727272727,5,79
trainlm,logsig,softmax,sse,81.25,100,0,72.7272727272727,5,80
trainbfg,tansig,softmax,crossentropy,75,100,33.3333333333333,72.7272727272727,5,84
trainlm,tansig,purelin,crossentropy,75,100,33.3333333333333,72.7272727272727,5,93
trainlm,logsig,logsig,crossentropy,75,66.6666666666667,66.6666666666667,72.7272727272727,5,96
trainlm,logsig,purelin,crossentropy,75,100,33.3333333333333,72.7272727272727,6,102
trainbfg,logsig,softmax,crossentropy,75,100,33.3333333333333,72.7272727272727,6,103
trainlm,tansig,logsig,sse,68.75,66.6666666666667,100,72.7272727272727,6,104
trainlm,tansig,logsig,crossentropy,68.75,66.6666666666667,100,72.7272727272727,6,109
trainlm,logsig,softmax,sse,75,100,33.3333333333333,72.7272727272727,6,112
trainbfg,tansig,softmax,sse,75,100,33.3333333333333,72.7272727272727,6,114
trainbfg,tansig,softmax,crossentropy,75,100,33.3333333333333,72.7272727272727,6,116
trainlm,tansig,purelin,crossentropy,75,100,33.3333333333333,72.7272727272727,6,125
trainlm,logsig,logsig,sse,75,33.3333333333333,100,72.7272727272727,7,133
trainlm,logsig,purelin,crossentropy,68.75,66.6666666666667,100,72.7272727272727,7,134
trainlm,tansig,purelin,crossentropy,81.25,33.3333333333333,66.6666666666667,72.7272727272727,7,157
trainlm,tansig,tansig,sse,75,66.6666666666667,66.6666666666667,72.7272727272727,7,158
trainlm,logsig,logsig,crossentropy,81.25,33.3333333333333,66.6666666666667,72.7272727272727,7,160
trainlm,logsig,purelin,crossentropy,75,100,33.3333333333333,72.7272727272727,8,166
trainlm,logsig,tansig,crossentropy,81.25,66.6666666666667,33.3333333333333,72.7272727272727,8,170
trainlm,logsig,purelin,sse,75,100,33.3333333333333,72.7272727272727,8,179
trainlm,tansig,purelin,sse,75,100,33.3333333333333,72.7272727272727,8,188
trainbfg,logsig,softmax,crossentropy,68.75,100,66.6666666666667,72.7272727272727,9,199
trainlm,logsig,softmax,sse,68.75,100,66.6666666666667,72.7272727272727,9,208
trainlm,logsig,purelin,sse,68.75,100,66.6666666666667,72.7272727272727,9,211
trainbfg,tansig,purelin,sse,68.75,100,66.6666666666667,72.7272727272727,9,216
trainlm,logsig,softmax,crossentropy,68.75,100,66.6666666666667,72.7272727272727,9,217
trainlm,tansig,purelin,sse,68.75,100,66.6666666666667,72.7272727272727,9,220
trainlm,tansig,purelin,crossentropy,68.75,100,66.6666666666667,72.7272727272727,9,221
trainlm,logsig,purelin,crossentropy,87.5,33.3333333333333,33.3333333333333,72.7272727272727,10,230
trainlm,logsig,logsig,crossentropy,75,66.6666666666667,66.6666666666667,72.7272727272727,10,256
trainbfg,logsig,softmax,crossentropy,68.75,100,66.6666666666667,72.7272727272727,11,263
trainlm,logsig,tansig,crossentropy,75,100,33.3333333333333,72.7272727272727,11,266
trainlm,tansig,softmax,sse,68.75,100,66.6666666666667,72.7272727272727,11,277
trainlm,tansig,softmax,crossentropy,68.75,100,66.6666666666667,72.7272727272727,11,282
trainbfg,logsig,purelin,sse,68.75,100,66.6666666666667,72.7272727272727,12,289
trainlm,logsig,purelin,crossentropy,75,66.6666666666667,66.6666666666667,72.7272727272727,12,294
trainbfg,logsig,softmax,crossentropy,68.75,100,66.6666666666667,72.7272727272727,12,295
trainbfg,logsig,softmax,sse,68.75,100,66.6666666666667,72.7272727272727,12,303
trainlm,logsig,softmax,sse,75,66.6666666666667,66.6666666666667,72.7272727272727,12,304
trainbfg,tansig,softmax,sse,68.75,100,66.6666666666667,72.7272727272727,12,306
trainlm,logsig,purelin,sse,68.75,100,66.6666666666667,72.7272727272727,12,307
trainbfg,tansig,softmax,crossentropy,68.75,100,66.6666666666667,72.7272727272727,12,308
trainlm,tansig,softmax,sse,68.75,100,66.6666666666667,72.7272727272727,12,309
trainlm,tansig,softmax,crossentropy,68.75,100,66.6666666666667,72.7272727272727,12,314
trainbfg,logsig,purelin,sse,68.75,66.6666666666667,100,72.7272727272727,13,321
trainlm,tansig,purelin,sse,62.5,100,100,72.7272727272727,13,348
trainlm,tansig,purelin,crossentropy,62.5,100,100,72.7272727272727,13,349
trainlm,logsig,logsig,crossentropy,62.5,100,100,72.7272727272727,13,352
trainlm,logsig,purelin,crossentropy,81.25,33.3333333333333,66.6666666666667,72.7272727272727,14,358
trainlm,tansig,logsig,crossentropy,75,66.6666666666667,66.6666666666667,72.7272727272727,14,365
trainbfg,logsig,purelin,sse,81.25,66.6666666666667,33.3333333333333,72.7272727272727,15,385
trainbfg,logsig,logsig,sse,75,66.6666666666667,66.6666666666667,72.7272727272727,15,396
trainbfg,logsig,softmax,sse,68.75,66.6666666666667,100,72.7272727272727,15,399
trainbfg,tansig,logsig,sse,81.25,66.6666666666667,33.3333333333333,72.7272727272727,15,401
trainlm,logsig,softmax,crossentropy,81.25,66.6666666666667,33.3333333333333,72.7272727272727,15,409
trainlm,tansig,softmax,crossentropy,75,66.6666666666667,66.6666666666667,72.7272727272727,15,410
trainlm,tansig,purelin,sse,87.5,33.3333333333333,33.3333333333333,72.7272727272727,15,412
trainbfg,logsig,purelin,sse,68.75,66.6666666666667,100,72.7272727272727,16,417
trainlm,logsig,logsig,sse,68.75,100,66.6666666666667,72.7272727272727,16,421
trainlm,tansig,logsig,sse,81.25,66.6666666666667,33.3333333333333,72.7272727272727,16,424
trainbfg,logsig,logsig,sse,81.25,66.6666666666667,33.3333333333333,72.7272727272727,16,428
trainlm,tansig,logsig,crossentropy,81.25,66.6666666666667,33.3333333333333,72.7272727272727,16,429
trainlm,logsig,tansig,sse,81.25,66.6666666666667,33.3333333333333,72.7272727272727,16,430
trainbfg,tansig,logsig,sse,87.5,33.3333333333333,33.3333333333333,72.7272727272727,16,433
trainbfg,tansig,purelin,sse,81.25,66.6666666666667,33.3333333333333,72.7272727272727,16,440
trainlm,logsig,softmax,crossentropy,62.5,100,100,72.7272727272727,16,441
trainlm,tansig,softmax,crossentropy,68.75,66.6666666666667,100,72.7272727272727,16,442
trainlm,logsig,logsig,crossentropy,81.25,66.6666666666667,33.3333333333333,72.7272727272727,16,448
trainlm,logsig,purelin,crossentropy,75,100,33.3333333333333,72.7272727272727,17,454
trainlm,tansig,logsig,crossentropy,75,100,33.3333333333333,72.7272727272727,17,461
trainbfg,tansig,logsig,sse,81.25,100,0,72.7272727272727,17,465
trainbfg,tansig,purelin,sse,75,100,33.3333333333333,72.7272727272727,17,472
trainlm,tansig,purelin,crossentropy,75,100,33.3333333333333,72.7272727272727,17,477
trainlm,logsig,tansig,crossentropy,81.25,66.6666666666667,33.3333333333333,72.7272727272727,18,490
trainlm,logsig,softmax,crossentropy,68.75,66.6666666666667,100,72.7272727272727,18,505
trainlm,tansig,purelin,crossentropy,75,66.6666666666667,66.6666666666667,72.7272727272727,18,509
trainlm,logsig,purelin,crossentropy,93.75,0,33.3333333333333,72.7272727272727,19,518
trainlm,logsig,tansig,sse,81.25,66.6666666666667,33.3333333333333,72.7272727272727,20,558
trainbfg,tansig,softmax,crossentropy,75,66.6666666666667,66.6666666666667,72.7272727272727,20,564
trainlm,tansig,softmax,sse,81.25,66.6666666666667,33.3333333333333,72.7272727272727,20,565
trainlm,logsig,softmax,crossentropy,75,66.6666666666667,66.6666666666667,72.7272727272727,20,569
trainlm,logsig,logsig,crossentropy,81.25,66.6666666666667,33.3333333333333,72.7272727272727,20,576
trainlm,tansig,logsig,crossentropy,68.75,33.3333333333333,100,68.1818181818182,3,13
trainlm,tansig,softmax,crossentropy,68.75,100,33.3333333333333,68.1818181818182,5,90
trainlm,logsig,tansig,sse,75,66.6666666666667,33.3333333333333,68.1818181818182,7,142
trainlm,logsig,softmax,crossentropy,68.75,66.6666666666667,66.6666666666667,68.1818181818182,7,153
trainlm,tansig,softmax,crossentropy,68.75,66.6666666666667,66.6666666666667,68.1818181818182,7,154
trainlm,tansig,logsig,crossentropy,75,66.6666666666667,33.3333333333333,68.1818181818182,10,237
trainbfg,logsig,softmax,sse,81.25,33.3333333333333,33.3333333333333,68.1818181818182,10,239
trainlm,tansig,softmax,sse,75,66.6666666666667,33.3333333333333,68.1818181818182,10,245
trainbfg,tansig,purelin,sse,75,33.3333333333333,66.6666666666667,68.1818181818182,10,248
trainlm,logsig,softmax,crossentropy,75,66.6666666666667,33.3333333333333,68.1818181818182,10,249
trainlm,tansig,tansig,sse,68.75,66.6666666666667,66.6666666666667,68.1818181818182,10,254
trainlm,tansig,purelin,crossentropy,75,33.3333333333333,66.6666666666667,68.1818181818182,11,285
trainlm,tansig,logsig,sse,56.25,100,100,68.1818181818182,13,328
trainbfg,logsig,purelin,sse,75,33.3333333333333,66.6666666666667,68.1818181818182,14,353
trainlm,tansig,purelin,sse,75,33.3333333333333,66.6666666666667,68.1818181818182,14,380
trainbfg,tansig,softmax,sse,68.75,66.6666666666667,66.6666666666667,68.1818181818182,15,402
trainlm,logsig,purelin,sse,75,66.6666666666667,33.3333333333333,68.1818181818182,15,403
trainlm,tansig,softmax,sse,75,66.6666666666667,33.3333333333333,68.1818181818182,15,405
trainbfg,tansig,tansig,sse,81.25,33.3333333333333,33.3333333333333,68.1818181818182,16,439
trainlm,tansig,purelin,sse,62.5,66.6666666666667,100,68.1818181818182,16,444
trainlm,tansig,tansig,crossentropy,81.25,33.3333333333333,33.3333333333333,68.1818181818182,16,447
trainbfg,logsig,softmax,crossentropy,68.75,66.6666666666667,66.6666666666667,68.1818181818182,18,487
trainlm,tansig,tansig,crossentropy,68.75,66.6666666666667,66.6666666666667,68.1818181818182,18,511
trainbfg,logsig,softmax,crossentropy,62.5,66.6666666666667,66.6666666666667,63.6363636363636,3,7
trainlm,logsig,logsig,sse,68.75,66.6666666666667,33.3333333333333,63.6363636363636,4,37
trainbfg,tansig,purelin,crossentropy,62.5,66.6666666666667,66.6666666666667,63.6363636363636,4,43
trainbfg,logsig,logsig,sse,56.25,100,66.6666666666667,63.6363636363636,4,44
trainlm,tansig,logsig,crossentropy,56.25,100,66.6666666666667,63.6363636363636,4,45
trainbfg,tansig,softmax,sse,62.5,66.6666666666667,66.6666666666667,63.6363636363636,4,50
trainbfg,tansig,softmax,crossentropy,62.5,66.6666666666667,66.6666666666667,63.6363636363636,4,52
trainlm,tansig,softmax,sse,62.5,66.6666666666667,66.6666666666667,63.6363636363636,4,53
trainlm,tansig,softmax,crossentropy,62.5,66.6666666666667,66.6666666666667,63.6363636363636,4,58
trainlm,logsig,logsig,crossentropy,56.25,100,66.6666666666667,63.6363636363636,4,64
trainbfg,logsig,logsig,sse,62.5,66.6666666666667,66.6666666666667,63.6363636363636,6,108
trainlm,logsig,tansig,sse,62.5,66.6666666666667,66.6666666666667,63.6363636363636,6,110
trainbfg,logsig,softmax,sse,68.75,100,0,63.6363636363636,6,111
trainlm,tansig,softmax,sse,68.75,100,0,63.6363636363636,6,117
trainlm,logsig,tansig,crossentropy,75,33.3333333333333,33.3333333333333,63.6363636363636,7,138
trainlm,logsig,softmax,sse,62.5,66.6666666666667,66.6666666666667,63.6363636363636,7,144
trainlm,tansig,tansig,crossentropy,81.25,33.3333333333333,0,63.6363636363636,7,159
trainlm,tansig,logsig,crossentropy,62.5,66.6666666666667,66.6666666666667,63.6363636363636,8,173
trainlm,logsig,tansig,sse,68.75,66.6666666666667,33.3333333333333,63.6363636363636,8,174
trainbfg,tansig,logsig,sse,62.5,66.6666666666667,66.6666666666667,63.6363636363636,8,177
trainlm,tansig,tansig,sse,68.75,66.6666666666667,33.3333333333333,63.6363636363636,8,190
trainlm,tansig,tansig,crossentropy,68.75,66.6666666666667,33.3333333333333,63.6363636363636,8,191
trainlm,logsig,purelin,crossentropy,62.5,100,33.3333333333333,63.6363636363636,9,198
trainbfg,logsig,softmax,sse,62.5,100,33.3333333333333,63.6363636363636,9,207
trainbfg,tansig,softmax,sse,62.5,100,33.3333333333333,63.6363636363636,9,210
trainlm,tansig,softmax,crossentropy,62.5,100,33.3333333333333,63.6363636363636,9,218
trainlm,tansig,logsig,sse,62.5,66.6666666666667,66.6666666666667,63.6363636363636,10,232
trainbfg,tansig,softmax,crossentropy,68.75,66.6666666666667,33.3333333333333,63.6363636363636,10,244
trainlm,logsig,purelin,crossentropy,62.5,66.6666666666667,66.6666666666667,63.6363636363636,11,262
trainbfg,tansig,logsig,sse,68.75,66.6666666666667,33.3333333333333,63.6363636363636,11,273
trainlm,tansig,logsig,sse,68.75,33.3333333333333,66.6666666666667,63.6363636363636,12,296
trainbfg,tansig,purelin,crossentropy,62.5,66.6666666666667,66.6666666666667,63.6363636363636,12,299
trainlm,tansig,purelin,sse,62.5,66.6666666666667,66.6666666666667,63.6363636363636,12,316
trainlm,logsig,logsig,sse,50,100,100,63.6363636363636,13,325
trainlm,logsig,tansig,crossentropy,50,100,100,63.6363636363636,13,330
trainbfg,logsig,logsig,sse,56.25,100,66.6666666666667,63.6363636363636,13,332
trainlm,tansig,logsig,crossentropy,50,100,100,63.6363636363636,13,333
trainlm,logsig,tansig,sse,50,100,100,63.6363636363636,13,334
trainbfg,tansig,logsig,sse,56.25,100,66.6666666666667,63.6363636363636,13,337
trainlm,tansig,tansig,sse,50,100,100,63.6363636363636,13,350
trainlm,logsig,tansig,sse,62.5,66.6666666666667,66.6666666666667,63.6363636363636,14,366
trainlm,tansig,purelin,crossentropy,56.25,66.6666666666667,100,63.6363636363636,14,381
trainbfg,tansig,softmax,crossentropy,68.75,66.6666666666667,33.3333333333333,63.6363636363636,15,404
trainlm,tansig,purelin,crossentropy,68.75,33.3333333333333,66.6666666666667,63.6363636363636,15,413
trainlm,tansig,tansig,crossentropy,62.5,66.6666666666667,66.6666666666667,63.6363636363636,15,415
trainlm,tansig,softmax,sse,75,0,66.6666666666667,63.6363636363636,16,437
trainlm,tansig,tansig,sse,68.75,66.6666666666667,33.3333333333333,63.6363636363636,16,446
trainlm,logsig,purelin,crossentropy,62.5,66.6666666666667,66.6666666666667,63.6363636363636,18,486
trainlm,tansig,logsig,sse,62.5,66.6666666666667,66.6666666666667,63.6363636363636,18,488
trainlm,logsig,softmax,sse,75,0,66.6666666666667,63.6363636363636,18,496
trainlm,tansig,purelin,sse,68.75,66.6666666666667,33.3333333333333,63.6363636363636,18,508
trainlm,tansig,tansig,sse,75,66.6666666666667,0,63.6363636363636,18,510
trainbfg,logsig,purelin,sse,81.25,0,33.3333333333333,63.6363636363636,19,513
trainlm,logsig,tansig,crossentropy,87.5,0,0,63.6363636363636,19,522
trainbfg,tansig,softmax,crossentropy,56.25,66.6666666666667,100,63.6363636363636,19,532
trainlm,tansig,softmax,crossentropy,81.25,0,33.3333333333333,63.6363636363636,19,538
trainlm,tansig,tansig,sse,81.25,33.3333333333333,0,63.6363636363636,19,542
trainlm,tansig,tansig,crossentropy,87.5,0,0,63.6363636363636,19,543
trainlm,tansig,logsig,sse,68.75,66.6666666666667,33.3333333333333,63.6363636363636,20,552
trainlm,tansig,logsig,crossentropy,68.75,66.6666666666667,33.3333333333333,63.6363636363636,20,557
trainlm,tansig,softmax,crossentropy,68.75,66.6666666666667,33.3333333333333,63.6363636363636,20,570
trainlm,tansig,tansig,sse,68.75,66.6666666666667,33.3333333333333,63.6363636363636,20,574
trainlm,tansig,tansig,crossentropy,62.5,66.6666666666667,66.6666666666667,63.6363636363636,20,575
trainbfg,logsig,softmax,sse,56.25,66.6666666666667,66.6666666666667,59.0909090909091,3,15
trainbfg,tansig,logsig,sse,50,100,66.6666666666667,59.0909090909091,4,49
trainbfg,tansig,purelin,sse,56.25,100,33.3333333333333,59.0909090909091,5,88
trainbfg,tansig,logsig,sse,68.75,33.3333333333333,33.3333333333333,59.0909090909091,7,145
trainlm,tansig,softmax,sse,56.25,66.6666666666667,66.6666666666667,59.0909090909091,7,149
trainlm,logsig,logsig,crossentropy,62.5,66.6666666666667,33.3333333333333,59.0909090909091,8,192
trainbfg,tansig,softmax,crossentropy,56.25,100,33.3333333333333,59.0909090909091,9,212
trainbfg,logsig,purelin,sse,68.75,33.3333333333333,33.3333333333333,59.0909090909091,10,225
trainbfg,logsig,softmax,crossentropy,56.25,66.6666666666667,66.6666666666667,59.0909090909091,10,231
trainbfg,logsig,tansig,sse,62.5,66.6666666666667,33.3333333333333,59.0909090909091,11,265
trainlm,logsig,tansig,sse,56.25,66.6666666666667,66.6666666666667,59.0909090909091,15,398
